x,y,z,tot,xx,yy,zz,xy,xz,yz,xxx,yyy,zzz,xyy,xxy,xxz,xzz,yzz,yyz,xyz,xxxx,yyyy,zzzz,xxxy,xxxz,yyyx,yyyz,zzzx,zzzy,xxyy,xxzz,yyzz,xxyz,yxyz,zzxy,PMI1,PMI2,PMI3,Planar_RMSD,Inertia_Ratio,Max_Planar_Deviation,Conjugated_Ratio,Principal_Axes_Cosines_X,Principal_Axes_Cosines_Y,Principal_Axes_Cosines_Z,Projection_Area_Ratio,Gasteiger_Charge_Mean,Gasteiger_Charge_Std,EState_Mean,EState_Std,MolMR,TPSA,UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,best_omega
0.4803,1.1247,0,1.223,-65.7726,-74.3163,-83.5113,12.2104,0.0002,0,15.0409,-5.1091,0.0001,2.9931,59.6493,0.0011,9.134,-1.1188,0,0.0003,-3340.8619,-525.2143,-90.5622,312.0714,0.0062,27.7393,0,0.0003,0,-643.3553,-696.263,-119.6593,0.0013,0,2.9141,177.00191,1387.451089,1564.452999,1.65125E-05,2.89373E-11,3.45118E-05,0.666666667,0.030634939,0.655661399,0.754433318,0,5.28678E-18,0.157850213,3.007936508,3.588724845,51.5907,54.71,-0.021542484,3.843518496,9.998391151,10.06426716,4.444479942,6.715144634,1.113860726,0.330866963,7.549433708,4.880104065,0.206852
-2.3184,-2.3391,-0.7834,3.3853,-84.8254,-104.8724,-97.92,20.656,4.7618,2.3791,-37.3574,-27.2733,-1.0883,-41.1118,-19.7624,-33.1898,3.2823,1.5663,0.612,-4.7831,-4284.8554,-1279.9433,-129.8457,576.139,166.8423,39.7679,13.6219,5.7047,-0.5342,-1104.2467,-859.9971,-218.1873,24.7121,6.6987,-1.0558,444.2407483,1931.330875,2371.313974,0.142904772,0.002163273,0.393717289,0.68,0.147807802,0.370609966,0.916952075,0,5.55112E-18,0.132237029,3.226666667,4.644901047,61.8247,62.82,0.501267433,3.791715384,10.07459831,9.599932671,4.755210876,6.663694859,1.076955676,0.824909389,7.082411289,5.077073574,0.204942
3.2369,3.4139,-1.344,4.8927,-96.7879,-82.7476,-95.175,-30.8577,-4.123,1.2771,78.0205,33.9088,-0.6501,11.0546,4.5678,-38.0471,2.2626,-1.62,-4.1535,7.2329,-4591.8882,-791.8058,-137.6528,-641.0238,-162.1803,-132.9443,-0.8615,-8.0258,1.9093,-996.2213,-854.2863,-176.387,24.5304,2.6995,3.1727,310.0169493,1850.756663,2156.843332,0.14086549,0.002168097,0.386809798,0.64,0.10193988,0.140450936,0.984825769,0,-1.05471E-17,0.138743413,3.16,4.314023654,62.1504,61.54,0.589940846,3.341521025,10.00461578,9.660449028,4.793653011,6.71213913,0.991432428,0.932147563,6.966474056,5.202455997,0.198134
3.0896,0.9251,-0.9397,3.3593,-94.8164,-93.0358,-91.6903,6.0926,-4.9399,-3.229,-1.5978,-26.5793,0.0378,58.1357,103.8638,-22.1415,-9.1752,4.418,-4.5816,-7.0118,-4492.1438,-1013.8763,-125.075,108.1811,-158.4752,79.5366,-15.9783,-4.9404,-0.6114,-932.8218,-775.7234,-181.1448,-45.2355,-3.6085,3.3546,361.0030593,1796.610838,2154.918431,0.117268407,0.001619565,0.304226526,0.695652174,0.047802453,-0.314675671,0.947994803,0,6.03382E-18,0.159557149,3.231884058,4.546785002,55.8204,74.85,0.530721724,3.81878376,10.06716537,9.586152077,4.798463821,6.669794559,1.070942879,0.836730182,7.051174164,5.093042374,0.209944
0.7161,1.9458,-1.4617,2.5368,-81.7451,-73.347,-82.6723,-25.1434,-2.3219,2.1983,-12.3494,13.4738,-0.0575,22.6833,10.509,-30.9216,-1.0193,-2.4203,-5.3634,7.7621,-3537.9488,-584.5821,-126.6631,-523.6019,-78.9048,-85.8095,8.6236,-4.4906,4.0583,-639.2008,-632.8639,-124.9656,28.0681,0.9531,-5.0415,202.2002105,1386.236713,1586.428573,0.107845762,0.001545175,0.253294587,0.666666667,0.002284755,0.345612012,0.938374721,0,-3.96508E-18,0.125723969,3,3.572837753,51.4704,70.25,0.435258508,3.312307596,10.41266632,9.86498642,4.393827915,6.504665852,0.711732745,0.644817531,7.355530262,4.655479431,0.218027
0.8512,1.7257,0.6053,2.0172,-92.2545,-91.1861,-101.6391,20.2822,4.5163,-0.0146,-3.8108,2.1365,0.603,26.6919,34.1241,22.0659,0.2739,0.6413,0.8857,7.5078,-6747.3966,-663.6921,-142.5552,866.8542,192.0138,56.3163,0.5316,3.4589,1.5007,-1313.9916,-1288.517,-145.3987,26.5782,7.4019,4.8109,223.7659875,2828.86289,3032.485546,0.287519749,0.006255067,0.696675662,0.62962963,0.051316896,0.264481883,0.963024356,0,-1.13078E-17,0.11644633,3.061728395,3.870351839,65.0497,54.46,-0.013201245,3.891308069,10.18053246,9.555043221,3.177980185,6.614215374,1.001867175,0.229591727,7.842293262,4.332155228,0.192463
0.0178,-1.9656,0.8829,2.1549,-81.0287,-90.2667,-101.4512,-10.1102,5.8716,-1.7184,-72.4613,-3.7786,0.765,15.5106,-91.0932,34.46,9.0632,-1.0318,1.5139,-12.0133,-6442.5004,-658.5717,-145.568,-500.2486,224.1596,-15.2544,-5.7406,4.2454,-3.2858,-1179.7882,-1295.347,-144.6578,-30.0771,10.5013,-9.8765,223.4063111,2786.938563,3008.888217,0.084732832,0.000508914,0.231680561,0.62962963,-0.076579743,0.896881261,-0.435591031,2,-8.22387E-18,0.115740742,3.061728395,3.843114002,65.0497,54.46,0.10052491,3.327296734,10.11514473,9.587965965,3.651133776,6.614616394,0.932077169,0.583028197,7.647510052,4.512858868,0.188984
0.4603,-6.4051,0,6.4217,-113.7249,-87.6694,-107.4704,-5.517,-0.0003,0.0001,73.6733,-29.778,0,9.1315,-150.8895,-0.0015,3.5421,0.0157,0,0.0008,-7282.4094,-723.0202,-117.4042,-217.9183,-0.0138,-3.1093,0.0004,-0.0002,0,-1222.8152,-1269.4711,-174.0298,0.0026,-0.0006,-3.9505,275.5600841,2629.365162,2904.925246,1.57851E-05,2.04066E-11,3.73496E-05,0.666666667,0.011408047,-0.987948991,0.154358828,2,3.08395E-18,0.13686994,2.950617284,3.742623209,68.9764,70.25,0.132795691,2.109354019,9.954839706,10.25097084,4.049741268,6.680145741,1.031064153,0.574631751,7.226946831,5.62567091,0.192777
0.8903,2.4738,0.9169,2.7844,-97.3357,-93.8731,-107.7252,5.723,7.3544,0.945,23.1671,1.7632,2.0776,7.5007,111.1051,40.6416,9.2618,-3.1624,0.1016,8.5191,-6337.821,-777.239,-158.7602,372.4603,287.2181,-12.2131,-0.8656,5.8832,3.7895,-1358.832,-1267.5237,-175.5703,28.0167,12.4759,11.6133,280.8595034,2643.320297,2921.349623,0.115211887,0.001067875,0.330077437,0.642857143,0.133857669,0.265092643,-0.954886389,0,-1.98254E-18,0.124092595,2.976190476,3.898563653,71.1814,57.36,0.413994998,2.476594448,9.825768471,9.67503643,4.471898556,6.821482182,1.097283125,1.076963902,7.031728268,5.363056183,0.189023
0.3435,-0.8266,-1.0714,1.3961,-101.2697,-99.6851,-116.3736,13.8281,6.3415,1.9059,57.225,7.8892,-0.4994,-13.8342,-83.2005,-41.1328,-15.0495,-3.256,-2.5394,-14.1718,-7124.675,-1038.7407,-174.7264,521.5599,271.1472,39.319,5.1684,7.1862,5.6378,-1271.8142,-1361.3485,-223.6547,46.8154,6.7827,3.9721,358.5592505,2789.191684,3144.829235,0.114328416,0.00097181,0.324041339,0.642857143,0.022919691,-0.691487916,0.722024342,0,-6.44326E-18,0.092179467,2.922619048,3.894762326,76.9127,28.68,0.287852675,3.114659548,9.920737267,9.462937355,4.439704895,6.704824448,1.014880776,1.140521288,7.271902561,4.848460197,0.209735
