PMI1,PMI2,PMI3,Planar_RMSD,Inertia_Ratio,Max_Planar_Deviation,Conjugated_Ratio,Principal_Axes_Cosines_X,Principal_Axes_Cosines_Y,Principal_Axes_Cosines_Z,Projection_Area_Ratio,Gasteiger_Charge_Mean,Gasteiger_Charge_Std,EState_Mean,EState_Std,MolMR,TPSA,UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,smiles
3964.4891373350088,4105.537427289407,6038.878557535364,1.759136971893921,0.37412160887640133,3.75536554198377,0.6666666666666666,0.4203648514763532,-0.3522276332000561,-0.8361991904167037,0,4.11193712824132e-18,0.08969448574788998,2.981481481481481,4.577521321959932,144.54999999999978,57.44,0.6728251,6.0419035,10.374297,9.65079,4.1305346,2.8640552,1.0741739,10.023372,7.8732896,5.941464,N#CC1=CC(N2C3=CC=CC=C3C3=C2C=CC=C3)=C(N2C3=CC=CC=C3C3=C2C=CC=C3)C=C1C#N
9312.055260389245,11598.582653096446,15222.475113390705,2.270090043978233,0.39991920904808514,5.19508201989053,0.6595744680851063,-0.29144547853711295,0.8710234454035188,0.3954461917855029,2,2.066904567121302e-18,0.09043022836951779,2.925531914893616,5.028999532273937,253.22799999999953,67.3,0.58061033,5.959818,10.288891,9.636208,4.143797,2.8360863,1.1081433,10.023376,7.847532,5.888253,N#CC1=C(N2C3=CC=CC=C3C3=C2C=CC=C3)C(N2C3=CC=CC=C3C3=C2C=CC=C3)=C(N2C3=CC=CC=C3C3=C2C=CC=C3)C(C#N)=C1N1C2=CC=CC=C2C2=C1C=CC=C2
7729.1516804689745,8172.3588800328735,12198.999555510654,2.1000042882723347,0.35978460747423296,4.661179744036539,0.6438356164383562,0.8852450792140242,0.3862491582348069,-0.25913845235753663,0,1.9010668229882816e-18,0.09794655147893162,3.0205479452054793,5.403860931519224,194.08999999999966,38.58,0.57514465,5.9789553,10.275391,9.637105,4.1308074,2.825059,1.0814291,10.021722,7.8604727,5.9203033,FC1=C(N(C2=CC=CC=C23)C4=C3C=CC=C4)C(C#N)=C(N(C5=CC=CC=C56)C7=C6C=CC=C7)C(F)=C1N(C8=CC=CC=C89)C%10=C9C=CC=C%10
1924.2230953209032,5893.121565185974,6487.7339756586,1.4829567560835635,0.1745506273258248,3.6169778627063547,0.5681818181818182,0.9285305361875815,0.057476261367391424,0.3667799377643623,1,-5.361872562110131e-18,0.09086741125734614,3.039772727272727,4.946132594890293,116.13579999999999,37.38,-0.64208543,6.464759,9.981336,9.684797,3.4366632,2.6742733,0.45196205,10.536326,7.981268,5.8846397,O=S(C1=C2C=C(N3C4=C(C=CC=C4)SC5=C3C=CC=C5)C=C1)(C6=C2C=CC=C6)=O
1682.7886118569475,6582.05164979799,7233.970082220126,1.3503330945204715,0.10335102458774022,3.3009728030901946,0.5384615384615384,0.011202398758777687,0.7705452073707658,0.6372868974488595,2,-8.006416042969879e-19,0.10643792349926812,3.1330128205128207,5.0576515744724775,123.20150000000002,29.54,-0.6631903,8.41928,10.859112,10.408357,3.2548525,3.8398874,-0.48333016,10.774946,8.494121,5.7641087,CC(C(C=CC=C1)=C1N2C3=CC(OC(C=CC=C4)=C4C5=O)=C5C=C3)(C)C6=C2C=CC=C6
7587.061784695834,12985.789916979282,16050.55800283579,1.9697413042165264,0.23897386188820696,3.9379206534173052,0.6451612903225806,0.9257931520177995,-0.35770365058349674,0.12229120179386195,1,5.2228233685323224e-18,0.08734524320856628,2.9193548387096766,5.0001891691884905,248.51299999999952,43.51,0.53981316,6.0307407,10.253825,9.673494,4.068934,2.7700262,1.064421,10.000194,7.873017,5.906354,N#CC1=C(N(C2=CC=CC=C23)C4=C3C=CC=C4)C(N(C5=CC=CC=C56)C7=C6C=CC=C7)=CC(N(C8=CC=CC=C89)C%10=C9C=CC=C%10)=C1N(C%11=CC=CC=C%11%12)C%13=C%12C=CC=C%13
4383.823745298842,12781.905185088473,13036.975106758682,2.1754855508645004,0.22058915070677534,6.1139082367221995,0.3595505617977528,-0.08111201113672832,0.5767536137728442,0.8128813632070307,0,0.0,0.08072927227168833,3.279026217228464,5.758710221194072,193.13399999999942,12.47,-0.33872655,5.9274545,10.212756,9.621224,3.7894616,2.9024298,0.4993782,10.186867,7.8473945,5.8540397,CC(C(C=CC=C1)=C1N2C3=CC(OC(C=CC=C4)=C4B5C6=C(C(C)C)C=C(C(C)C)C=C6C(C)C)=C5C=C3)(C)C7=C2C=CC=C7
2420.6638603489882,5146.782117260692,5234.087813181733,1.9119675165118997,0.35313495378454396,4.699138403565434,0.6,0.511941518230609,-0.17613369908687615,-0.8407691728160072,0,-6.0557619525008536e-18,0.08305444580875541,3.0348484848484847,5.02398518655545,136.42549999999991,20.310000000000002,-0.7817562,6.6393943,9.988894,9.759177,3.5236163,2.601403,0.435796,10.730863,7.9702682,5.8996677,O=C1C2=C(C=CC=C2)C(C3=C(N4C5=CC=CC=C5)C=CC=C3)(C6=C4C=CC=C6)C7=C1C=CC=C7
4322.064360110295,18591.850776852447,21253.46923647437,1.4250615994433298,0.059891247869745805,2.4714966192722,0.4578313253012048,0.5195470870862471,0.8454619809700191,-0.12355105436396253,2,1.0032135764685149e-18,0.07993414846873592,3.2098393574297184,5.634505094823286,191.95779999999948,40.620000000000005,-0.49117634,6.4970365,10.107116,9.697171,3.34213,2.8123217,0.3366684,10.425416,8.104753,5.7970057,O=S(C1=CC=C(N2C3=C(C=CC=C3)C(C)(C)C4=C2C=CC=C4)C=C1)(C5=CC=C(N6C7=C(C=CC=C7)C(C)(C)C8=C6C=CC=C8)C=C5)=O
12931.236205536205,37984.939831719756,48049.44342790222,1.4734189297623312,0.04720415623620805,3.2100576570427135,0.6346153846153846,0.5239472361807532,-0.5248600304273547,0.670821319099465,0,-1.0675221390626506e-18,0.08663751352440685,2.9487179487179485,4.9631342398361,273.6724999999999,36.79,-0.6059387,6.178394,9.323638,9.871284,3.418534,2.1428807,0.5810919,10.086072,7.891454,5.685987,O=C(C1=CC=C(N(C2=CC=C(N(C3=CC=CC=C34)C5=C4C=CC=C5)C=C26)C7=C6C=CC=C7)C=C1)C8=CC=C(N(C9=CC=C(N(C%10=CC=CC=C%10%11)C%12=C%11C=CC=C%12)C=C9%13)C%14=C%13C=CC=C%14)C=C8
