smiles
c1ccsc1
c1ccsc1-c2cccs2
c1ccsc1-c2cccs2-c3cccs3
c1ccsc1-c2cccs2-c3cccs3-c4cccs4
c1ccsc1-c2cccs2-c3cccs3-c4cccs4-c5cccs5
c1ccsc1-c2cccs2-c3cccs3-c4cccs4-c5cccs5-c6cccs6
c1ccsc1-c2cccs2-c3cccs3-c4cccs4-c5cccs5-c6cccs6-c7cccs7
c1ccsc1-c2cccs2-c3cccs3-c4cccs4-c5cccs5-c6cccs6-c7cccs7-c8cccs8
c1ccsc1-c2cccs2-c3cccs3-c4cccs4-c5cccs5-c6cccs6-c7cccs7-c8cccs8-c9cccs9
c1ccsc1-c2cccs2-c3cccs3-c4cccs4-c5cccs5-c6cccs6-c7cccs7-c8cccs8-c9cccs9-c%10cccs%10
