x,y,z,tot,xx,yy,zz,xy,xz,yz,xxx,yyy,zzz,xyy,xxy,xxz,xzz,yzz,yyz,xyz,xxxx,yyyy,zzzz,xxxy,xxxz,yyyx,yyyz,zzzx,zzzy,xxyy,xxzz,yyzz,xxyz,yxyz,zzxy,PMI1,PMI2,PMI3,Planar_RMSD,Inertia_Ratio,Max_Planar_Deviation,Conjugated_Ratio,Principal_Axes_Cosines_X,Principal_Axes_Cosines_Y,Principal_Axes_Cosines_Z,Projection_Area_Ratio,Gasteiger_Charge_Mean,Gasteiger_Charge_Std,EState_Mean,EState_Std,MolMR,TPSA,UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,best_omega
0.4803,1.1247,0,1.223,-65.7726,-74.3163,-83.5113,12.2104,0.0002,0,15.0409,-5.1091,0.0001,2.9931,59.6493,0.0011,9.134,-1.1188,0,0.0003,-3340.8619,-525.2143,-90.5622,312.0714,0.0062,27.7393,0,0.0003,0,-643.3553,-696.263,-119.6593,0.0013,0,2.9141,172.8561667,1406.620595,1579.476761,3.85098E-06,1.56273E-12,8.66754E-06,0.666666667,-0.001559535,-0.231091647,0.972930737,0,5.28678E-18,0.157850213,3.007936508,3.588724845,51.5907,54.71,0.318029404,4.247158527,9.908308029,9.44158268,3.289552212,3.469657898,0.693944216,8.875489235,7.215933323,6.834306717,0.252095
-2.3184,-2.3391,-0.7834,3.3853,-84.8254,-104.8724,-97.92,20.656,4.7618,2.3791,-37.3574,-27.2733,-1.0883,-41.1118,-19.7624,-33.1898,3.2823,1.5663,0.612,-4.7831,-4284.8554,-1279.9433,-129.8457,576.139,166.8423,39.7679,13.6219,5.7047,-0.5342,-1104.2467,-859.9971,-218.1873,24.7121,6.6987,-1.0558,443.4041208,1866.792254,2284.596562,0.350110559,0.01361339,0.957986798,0.68,-0.073686986,-0.103669068,0.991878497,0,5.55112E-18,0.132237029,3.226666667,4.644901047,61.8247,62.82,1.054061294,4.011676788,10.18258095,9.086828232,3.552031517,3.563978672,0.764287412,9.079003334,7.600335598,6.513678074,0.252666
3.2369,3.4139,-1.344,4.8927,-96.7879,-82.7476,-95.175,-30.8577,-4.123,1.2771,78.0205,33.9088,-0.6501,11.0546,4.5678,-38.0471,2.2626,-1.62,-4.1535,7.2329,-4591.8882,-791.8058,-137.6528,-641.0238,-162.1803,-132.9443,-0.8615,-8.0258,1.9093,-996.2213,-854.2863,-176.387,24.5304,2.6995,3.1727,306.2375244,1800.291408,2079.702922,0.368847637,0.015111321,0.997772737,0.64,-0.037505056,-0.208054039,-0.977398019,0,-1.05471E-17,0.138743413,3.16,4.314023654,62.1504,61.54,1.216089725,3.463924646,10.16363239,9.179962158,3.538973093,3.481452465,0.854956448,8.998152733,7.552423,6.452014923,0.250285
3.0896,0.9251,-0.9397,3.3593,-94.8164,-93.0358,-91.6903,6.0926,-4.9399,-3.229,-1.5978,-26.5793,0.0378,58.1357,103.8638,-22.1415,-9.1752,4.418,-4.5816,-7.0118,-4492.1438,-1013.8763,-125.075,108.1811,-158.4752,79.5366,-15.9783,-4.9404,-0.6114,-932.8218,-775.7234,-181.1448,-45.2355,-3.6085,3.3546,365.0399911,1752.934469,2092.992859,0.355452303,0.015473803,0.916247043,0.695652174,0.0259375,0.024009423,-0.999375202,0,6.03382E-18,0.159557149,3.231884058,4.546785002,55.8204,74.85,1.06681776,4.021133423,10.15684032,9.064296722,3.574488163,3.590308428,0.787320197,9.070293427,7.619379997,6.487801075,0.254641
0.7161,1.9458,-1.4617,2.5368,-81.7451,-73.347,-82.6723,-25.1434,-2.3219,2.1983,-12.3494,13.4738,-0.0575,22.6833,10.509,-30.9216,-1.0193,-2.4203,-5.3634,7.7621,-3537.9488,-584.5821,-126.6631,-523.6019,-78.9048,-85.8095,8.6236,-4.4906,4.0583,-639.2008,-632.8639,-124.9656,28.0681,0.9531,-5.0415,197.2068973,1390.278311,1564.482258,0.358699739,0.017252367,0.829962219,0.666666667,0.094565299,0.989834967,-0.106226847,2,-3.96508E-18,0.125723969,3,3.572837753,51.4704,70.25,0.829735577,3.58628273,10.56964207,9.547707558,3.273521662,3.242192507,0.769378603,9.322554588,7.314667702,6.727134228,0.264757
0.8512,1.7257,0.6053,2.0172,-92.2545,-91.1861,-101.6391,20.2822,4.5163,-0.0146,-3.8108,2.1365,0.603,26.6919,34.1241,22.0659,0.2739,0.6413,0.8857,7.5078,-6747.3966,-663.6921,-142.5552,866.8542,192.0138,56.3163,0.5316,3.4589,1.5007,-1313.9916,-1288.517,-145.3987,26.5782,7.4019,4.8109,218.5707668,2771.58599,2966.776196,0.33784193,0.008855986,0.915569676,0.62962963,0.010092973,0.819401733,0.573130815,2,-1.13078E-17,0.11644633,3.061728395,3.870351839,65.0497,54.46,-0.162795812,3.913124084,10.17570686,8.879865646,2.119662762,3.335956335,0.541414559,9.216938972,7.399917126,6.683843136,0.23529
0.0178,-1.9656,0.8829,2.1549,-81.0287,-90.2667,-101.4512,-10.1102,5.8716,-1.7184,-72.4613,-3.7786,0.765,15.5106,-91.0932,34.46,9.0632,-1.0318,1.5139,-12.0133,-6442.5004,-658.5717,-145.568,-500.2486,224.1596,-15.2544,-5.7406,4.2454,-3.2858,-1179.7882,-1295.347,-144.6578,-30.0771,10.5013,-9.8765,215.3497956,2794.953562,2988.0707,0.326836159,0.007579737,0.891150986,0.62962963,-0.054928514,0.598292273,0.799393029,0,-8.22387E-18,0.115740742,3.061728395,3.843114002,65.0497,54.46,0.148912728,3.569646835,10.16479969,9.087096214,2.459540844,3.349766254,0.713584065,9.113798141,7.37798357,6.598275661,0.231015
0.4603,-6.4051,0,6.4217,-113.7249,-87.6694,-107.4704,-5.517,-0.0003,0.0001,73.6733,-29.778,0,9.1315,-150.8895,-0.0015,3.5421,0.0157,0,0.0008,-7282.4094,-723.0202,-117.4042,-217.9183,-0.0138,-3.1093,0.0004,-0.0002,0,-1222.8152,-1269.4711,-174.0298,0.0026,-0.0006,-3.9505,271.4431748,2575.046898,2846.490073,4.4953E-06,1.69265E-12,1.13056E-05,0.666666667,-0.089941826,0.992705099,-0.080293552,2,3.08395E-18,0.13686994,2.950617284,3.742623209,68.9764,70.25,0.775338769,2.236122131,9.924860954,9.453099251,3.26754117,3.27961278,0.651922047,8.505660057,6.886898994,6.737982273,0.23354
0.8903,2.4738,0.9169,2.7844,-97.3357,-93.8731,-107.7252,5.723,7.3544,0.945,23.1671,1.7632,2.0776,7.5007,111.1051,40.6416,9.2618,-3.1624,0.1016,8.5191,-6337.821,-777.239,-158.7602,372.4603,287.2181,-12.2131,-0.8656,5.8832,3.7895,-1358.832,-1267.5237,-175.5703,28.0167,12.4759,11.6133,273.7327346,2656.507067,2906.492991,0.323502408,0.008470132,0.943430237,0.642857143,-0.093660726,0.655657618,0.749226772,0,-1.98254E-18,0.124092595,2.976190476,3.898563653,71.1814,57.36,1.138040066,2.575391769,10.1148243,9.132458687,3.17750597,3.372870445,0.992858946,8.874602318,7.496709347,6.306032181,0.231045
0.3435,-0.8266,-1.0714,1.3961,-101.2697,-99.6851,-116.3736,13.8281,6.3415,1.9059,57.225,7.8892,-0.4994,-13.8342,-83.2005,-41.1328,-15.0495,-3.256,-2.5394,-14.1718,-7124.675,-1038.7407,-174.7264,521.5599,271.1472,39.319,5.1684,7.1862,5.6378,-1271.8142,-1361.3485,-223.6547,46.8154,6.7827,3.9721,353.3668167,2791.997599,3119.580497,0.328965133,0.008124362,0.955655572,0.642857143,-0.015313309,0.046298022,0.99881029,0,-6.44326E-18,0.092179467,2.922619048,3.894762326,76.9127,28.68,0.738776147,3.443052053,10.10029793,9.108987808,3.171696186,3.594920158,1.103833437,8.977395058,7.6392169,6.214438438,0.251664
2.99,4.5452,0,5.4405,-68.0885,-59.4202,-63.9151,4.6031,0,0,79.8804,22.1641,0,-14.7737,26.6217,-0.0001,-4.8126,-0.8075,-0.0001,0,-1939.3542,-407.4288,-66.6116,-0.4103,0.0004,21.3477,0.0001,-0.0001,0,-397.85,-337.8504,-88.2766,0.0001,0.0001,-5.8252,131.3006552,732.9158906,864.2165456,2.34302E-05,1.03958E-10,4.05721E-05,0.6875,-0.073565074,0.848216151,0.524516483,2,-6.93889E-18,0.128840416,3.072916667,3.304703166,37.529,51.81,-0.307492554,3.974437952,10.11775017,8.784621239,1.949247003,3.336075068,0.495251864,9.223855019,7.426946163,6.692829132,
